순위,책이름,저자및출판사,가격
1,달러구트 꿈 백화점 2,이미예 저 | 팩토리나인,"12,420원"
2,미래의 부,이지성 저 | 차이정원,"15,300원"
3,주술회전 16 일반판 ,아쿠타미 게게 글그림/이정운 역 | 서울미디어코믹스(서울문화사),"4,500원"
4,달러구트 꿈 백화점,이미예 저 | 팩토리나인,"12,420원"
5,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역 | 모모,"12,600원"
6,하이큐!! 파이널 가이드북 배구극!,후루다테 하루이치 글그림 | 대원,"10,800원"
7,눈 떠보니 선진국,박태웅 저 | 한빛비즈,"14,850원"
8,명탐정 코난 경찰학교 편 (상) ,아오야마 고쇼 원저/아라이 타카히로 글그림 | 서울미디어코믹스(서울문화사),"4,950원"
9,명탐정 코난 경찰학교 편 (하) ,아오야마 고쇼 원저/아라이 타카히로 글그림 | 서울미디어코믹스(서울문화사),"4,950원"
10,미드나잇 라이브러리,매트 헤이그 저/노진선 역 | 인플루엔셜,"14,220원"
11,소설 주술회전 2 ,아쿠타미 게게 저/유유리 역 | 서울미디어코믹스(서울문화사),"7,020원"
12,소크라테스 익스프레스,에릭 와이너 저/김하현 역 | 어크로스,"16,200원"
13,흔한남매 8,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수 | 미래엔아이세움,"12,150원"
14,완전한 행복,정유정 저 | 은행나무,"14,220원"
15,약속의 땅,버락 오바마 저/노승영 역 | 웅진지식하우스,"29,700원"
16,메타버스,김상균 저 | 플랜비디자인,"15,300원"
17,설민석의 한국사 대모험 17,"설민석,스토리박스 글/정현희 그림/김영미 감수 | 아이휴먼","10,800원"
18,돈의 역사는 되풀이된다,홍춘욱 저 | 포르체,"14,400원"
19,에그박사 4,에그박사 원저/박송이 글/홍종현 그림/CJ ENM DIA TV 감수 | 미래엔아이세움,"12,150원"
20,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성 저 | 이투스북 ,"13,500원"
21,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,ETS 저 | YBM(와이비엠),"16,020원"
22,밝은 밤,최은영 저 | 문학동네,"13,050원"
23,이토록 공부가 재미있어지는 순간,박성혁 저 | 다산북스,"13,500원"
24,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",최태성 저 | 이투스북 ,"12,600원"
25,부의 시나리오,오건영 저 | 페이지2,"16,200원"
26,정재승의 인류 탐험 보고서 1,"차유진,정재승 글/김현민 그림/백두성 감수 | 아울북","12,600원"
27,ETS 토익 정기시험 기출문제집 1000 Vol.2 LISTENING 리스닝,ETS 저 | YBM(와이비엠),"16,020원"
28,4~7세 보다 중요한 시기는 없습니다,이임숙 저 | 카시오페아,"14,400원"
29,해커스 토익 기출 보카,데이비드 조 저 | 해커스어학연구소,"11,610원"
30,공중그네,오쿠다 히데오 저/이영미 역 | 은행나무,"12,420원"
31,불편한 편의점,김호연 저 | 나무옆의자,"12,600원"
32,강방천&존리와 함께하는 나의 첫 주식 교과서,"강방천,존리 저 | 페이지2","14,850원"
33,마법천자문 51,유대영 글/홍거북 그림/김창환 감수 | 아울북,"10,800원"
34,어떻게 말해줘야 할까,오은영 저/차상미 그림 | 김영사,"15,750원"
35,아직 끝이 아니다,김연경 저 | 가연,"13,320원"
36,만화 악당의 아빠를 꼬셔라 1 한정판 ,달슬 원저/비아 글그림 | 파인툰(FineToon),"27,900원"
37,메타버스 새로운 기회,"김상균,신병호 저 | 베가북스","16,920원"
38,햇빛은 찬란하고 인생은 귀하니까요,장명숙 저 | 김영사,"13,320원"
39,나는 주식 대신 달러를 산다,박성현 저 | 알에이치코리아(RHK),"14,400원"
40,지구 끝의 온실,김초엽 저 | 자이언트북스,"13,500원"
